N,K,Solver,p,seed,restart_id,is_best_restart,experiment_phase,Feasibility Ratio (%),Optimization GAP (%),gap_best_of_restarts,Sharpe Ratio In-Sample,Sharpe Ratio Out-of-Sample,Execution Time (s),objective
8,4,Gurobi,,50,,True,N_scaling,100.0,0.0,0.0,2.3203374132162793,0.3235789202465029,0.004360799997812137,-0.14905760126909956
8,4,Simulated Annealing,,50,,True,N_scaling,100.0,0.0,0.0,2.3203374132162793,0.3235789202465029,0.018888600010541268,-0.14905760126909956
8,4,Standard QAOA,3.0,50,0.0,True,N_scaling,93.91532526227068,0.0,0.0,2.3203374132162793,0.3235789202465029,0.3304668000055244,-0.14905760126909956
8,4,XY-QAOA,3.0,50,,True,N_scaling,100.0,37.15066811570168,37.15066811570168,1.5962399702023022,0.028537258954636713,0.3050994999939576,-0.09368170652039046
8,4,XY-QAOA Regularized,3.0,50,0.0,True,N_scaling,99.99999999999993,24.85746741756707,24.85746741756707,1.6666003384069523,0.07244350635336474,0.3306528000102844,-0.1120056566002261
8,4,Gurobi,,51,,True,N_scaling,100.0,0.0,0.0,2.38096970647789,0.6062762908933178,0.004487300000619143,-0.19149112951723815
8,4,Simulated Annealing,,51,,True,N_scaling,100.0,0.0,0.0,2.38096970647789,0.6062762908933178,0.020247699998435564,-0.19149112951723815
8,4,Standard QAOA,3.0,51,0.0,True,N_scaling,93.59098758047949,59.00978902715707,59.00978902715707,1.5244081370064282,-0.010355143965708575,0.32046890001220163,-0.07849261798339582
8,4,XY-QAOA,3.0,51,,True,N_scaling,100.0,4.979130459022955,4.979130459022955,2.466928279584589,0.6092169707095243,0.3226098000013735,-0.18195653636111825
8,4,XY-QAOA Regularized,3.0,51,0.0,True,N_scaling,100.0,10.932885437819557,10.932885437819557,2.490725034499439,0.8618679010462557,0.32474709999223705,-0.17055562370353183
8,4,Gurobi,,52,,True,N_scaling,100.0,0.0,0.0,2.4224783990741496,0.6764255532781863,0.004360499995527789,-0.1720631135866637
8,4,Simulated Annealing,,52,,True,N_scaling,100.0,0.0,0.0,2.4224783990741496,0.6764255532781863,0.016959100001258776,-0.1720631135866637
8,4,Standard QAOA,3.0,52,0.0,True,N_scaling,89.18545963064301,0.0,0.0,2.4224783990741496,0.6764255532781863,0.32081799999286886,-0.1720631135866637
8,4,XY-QAOA,3.0,52,,True,N_scaling,100.0,0.0,0.0,2.4224783990741496,0.6764255532781863,0.31897079999907874,-0.1720631135866637
8,4,XY-QAOA Regularized,3.0,52,0.0,True,N_scaling,100.00000000000007,27.53319406072573,27.53319406072573,1.715303139233621,0.7854470508425343,0.3310429999983171,-0.12468864261592065
8,4,Gurobi,,53,,True,N_scaling,100.0,0.0,0.0,2.3922403629911995,0.6462550121325192,0.0042391000024508685,-0.16508290483300886
8,4,Simulated Annealing,,53,,True,N_scaling,100.0,0.0,0.0,2.3922403629911995,0.6462550121325192,0.018447199996444397,-0.16508290483300886
8,4,Standard QAOA,3.0,53,0.0,True,N_scaling,88.09843543138945,0.0,0.0,2.3922403629911995,0.6462550121325192,0.3237133999937214,-0.16508290483300886
